1120
# Paramgroup(pg={'basic': {'substrate:max': [2, 4, 6, 8], 'general:output_frequency': [1000000], 'general:runtime': [20], 'species2:adsorbable': [True, False], 'general:init_f': [0.01, 0.16666666666666663, 0.3233333333333333, 0.48, 0.6366666666666666, 0.7933333333333333, 0.95], 'species2:mu': [22.05]}, 'cost': {'species2:mu': [19.6, 21.233333333333334, 22.866666666666664, 24.5], 'general:output_frequency': [1000000], 'general:runtime': [20], 'species2:adsorbable': [True, False], 'general:init_f': [0.01, 0.16666666666666663, 0.3233333333333333, 0.48, 0.6366666666666666, 0.7933333333333333, 0.95], 'substrate:max': [6]}}, rep={'basic': 10, 'cost': 10})
general:run,general:group,general:set,general:init_f,general:output_frequency,general:runtime,species2:adsorbable,species2:mu,substrate:max,general:seed
351,basic,15,0.16666666666666663,1000000,20,False,22.05,6,24902147
352,basic,16,0.16666666666666663,1000000,20,False,22.05,8,87860480
353,basic,17,0.3233333333333333,1000000,20,True,22.05,2,67063588
354,basic,18,0.3233333333333333,1000000,20,True,22.05,4,665895
355,basic,19,0.3233333333333333,1000000,20,True,22.05,6,13912847
356,basic,20,0.3233333333333333,1000000,20,True,22.05,8,55188435
357,basic,21,0.3233333333333333,1000000,20,False,22.05,2,4358282
358,basic,22,0.3233333333333333,1000000,20,False,22.05,4,32937148
359,basic,23,0.3233333333333333,1000000,20,False,22.05,6,11850225
360,basic,24,0.3233333333333333,1000000,20,False,22.05,8,18042025
361,basic,25,0.48,1000000,20,True,22.05,2,47852690
362,basic,26,0.48,1000000,20,True,22.05,4,73552642
363,basic,27,0.48,1000000,20,True,22.05,6,15696327
364,basic,28,0.48,1000000,20,True,22.05,8,30549508
365,basic,29,0.48,1000000,20,False,22.05,2,83579845
366,basic,30,0.48,1000000,20,False,22.05,4,46461897
367,basic,31,0.48,1000000,20,False,22.05,6,48619227
368,basic,32,0.48,1000000,20,False,22.05,8,5316652
369,basic,33,0.6366666666666666,1000000,20,True,22.05,2,57787033
370,basic,34,0.6366666666666666,1000000,20,True,22.05,4,15499260
371,basic,35,0.6366666666666666,1000000,20,True,22.05,6,27107909
372,basic,36,0.6366666666666666,1000000,20,True,22.05,8,19660674
373,basic,37,0.6366666666666666,1000000,20,False,22.05,2,6759634
374,basic,38,0.6366666666666666,1000000,20,False,22.05,4,82215417
375,basic,39,0.6366666666666666,1000000,20,False,22.05,6,5657310
376,basic,40,0.6366666666666666,1000000,20,False,22.05,8,45937136
377,basic,41,0.7933333333333333,1000000,20,True,22.05,2,4315828
378,basic,42,0.7933333333333333,1000000,20,True,22.05,4,88334696
379,basic,43,0.7933333333333333,1000000,20,True,22.05,6,22983538
380,basic,44,0.7933333333333333,1000000,20,True,22.05,8,41652855
381,basic,45,0.7933333333333333,1000000,20,False,22.05,2,4839506
382,basic,46,0.7933333333333333,1000000,20,False,22.05,4,4862547
383,basic,47,0.7933333333333333,1000000,20,False,22.05,6,74792020
384,basic,48,0.7933333333333333,1000000,20,False,22.05,8,57140482
385,basic,49,0.95,1000000,20,True,22.05,2,68352978
386,basic,50,0.95,1000000,20,True,22.05,4,45534889
387,basic,51,0.95,1000000,20,True,22.05,6,39607896
388,basic,52,0.95,1000000,20,True,22.05,8,6644084
389,basic,53,0.95,1000000,20,False,22.05,2,73573191
